:START_ID,:END_ID,weight:double,type
n17657,n24819,24.4529,FUNDED_BY
n29602,n12111,39.535,FUNDED_BY
n21249,n28577,26.1085,BELONGS_TO
n25760,n28889,68.351,FUNDED_BY
n27686,n16812,53.8931,DEVELOPS
n22770,n8856,39.1033,DEVELOPS
n2803,n1317,85.0126,BELONGS_TO
n13803,n25317,12.2296,FUNDED_BY
n12877,n10207,55.2941,FUNDED_BY
n6479,n17966,25.0604,FOLLOWS
n2535,n19125,32.6798,DEVELOPS
n2322,n21955,15.9123,FOLLOWS
n8047,n1088,11.5479,BELONGS_TO
n19384,n22159,42.3794,FUNDED_BY
n23844,n1141,22.5496,BELONGS_TO
n18478,n13536,43.4086,FUNDED_BY
n3492,n12332,43.0106,FOLLOWS
n22209,n2643,68.3688,DEVELOPS
n21302,n26283,71.2786,FOLLOWS
n6117,n5780,74.6403,BELONGS_TO
n18199,n17516,51.2689,BELONGS_TO
n9390,n18131,84.978,FOLLOWS
n23068,n14719,42.9559,FUNDED_BY
n18738,n4127,11.002,BELONGS_TO
n8741,n26902,32.4081,FOLLOWS
n1088,n4818,72.8951,FOLLOWS
n3846,n27020,49.4889,FOLLOWS
n21305,n18738,8.6819,DEVELOPS
n21725,n8737,27.2277,FUNDED_BY
n20631,n20359,88.1277,BELONGS_TO
n14276,n16465,36.11,FUNDED_BY
n11981,n9512,99.1254,DEVELOPS
n6993,n11241,8.5471,DEVELOPS
n6719,n12597,62.7488,FOLLOWS
n6747,n26262,22.2552,FOLLOWS
n21475,n17311,82.7575,BELONGS_TO
n23211,n8013,43.8566,DEVELOPS
n10228,n15813,11.8108,FOLLOWS
n21980,n22958,42.8299,FUNDED_BY
n5472,n26234,51.6599,DEVELOPS
n16375,n11288,50.2494,FUNDED_BY
n26155,n528,78.4867,DEVELOPS
n2152,n6733,35.4211,DEVELOPS
n20539,n9941,37.1923,FOLLOWS
n143,n15379,89.4556,FUNDED_BY
n16842,n13906,95.2288,FUNDED_BY
n29503,n20144,4.5141,DEVELOPS
n9122,n23456,9.7716,FUNDED_BY
n3329,n10512,84.5521,DEVELOPS
n29830,n14223,21.8463,BELONGS_TO
n27555,n13575,96.3736,FUNDED_BY
n20379,n2787,19.8713,DEVELOPS
n24051,n16655,89.2442,FOLLOWS
n4395,n8025,68.1409,FUNDED_BY
n14639,n25224,33.4674,BELONGS_TO
n26199,n4127,7.56,FOLLOWS
n29537,n16896,76.6424,BELONGS_TO
n11264,n1773,68.117,FOLLOWS
n28344,n18728,79.2593,BELONGS_TO
n25754,n13006,43.8618,BELONGS_TO
n26303,n18790,27.615,FUNDED_BY
n22159,n8813,20.531,BELONGS_TO
n10407,n10049,50.9777,FOLLOWS
n25463,n22618,27.3659,FUNDED_BY
n559,n6924,26.9984,DEVELOPS
n24639,n16692,58.3493,FOLLOWS
n12855,n14675,72.6115,DEVELOPS
n9770,n24556,89.1184,BELONGS_TO
n11533,n3068,1.7763,FOLLOWS
n8969,n5881,27.3827,BELONGS_TO
n12848,n17980,8.0947,FUNDED_BY
n17819,n5247,38.7767,FUNDED_BY
n27537,n3242,64.1685,BELONGS_TO
n9485,n6579,60.2267,DEVELOPS
n17100,n5018,34.8627,BELONGS_TO
n9195,n13408,20.7076,FUNDED_BY
n24051,n16088,60.6449,BELONGS_TO
n27343,n12522,12.7043,DEVELOPS
n12593,n25678,55.8085,DEVELOPS
n857,n13536,72.986,FOLLOWS
n7140,n29272,67.9628,DEVELOPS
n20804,n15521,85.6942,DEVELOPS
n9023,n4954,32.8318,FOLLOWS
n25703,n18257,56.8338,FUNDED_BY
n23038,n17699,90.8555,FOLLOWS
n25348,n19527,27.6666,FUNDED_BY
n1797,n15582,36.9819,DEVELOPS
n7164,n7853,27.5932,FOLLOWS
n23945,n21443,44.0602,FOLLOWS
n13305,n22273,65.1888,FOLLOWS
n10509,n22453,5.8272,FOLLOWS
n20432,n17434,51.152,FOLLOWS
n17190,n24694,25.4886,FUNDED_BY
n7001,n12902,4.0189,BELONGS_TO
n21769,n19197,40.4319,BELONGS_TO
n21054,n3737,45.5003,DEVELOPS
n27225,n8724,83.7583,FOLLOWS
n13536,n6911,34.8864,FOLLOWS
n29522,n3208,88.9869,DEVELOPS
n23844,n15718,63.7607,FOLLOWS
n29388,n22624,55.8758,FOLLOWS
n2123,n250,73.8222,BELONGS_TO
n22506,n8068,24.6223,FUNDED_BY
n25155,n27175,40.1963,BELONGS_TO
n9760,n9362,28.4336,BELONGS_TO
n7164,n5881,92.4527,FUNDED_BY
n6948,n18830,2.5981,BELONGS_TO
n9934,n26500,14.5239,DEVELOPS
n13668,n3248,11.5983,BELONGS_TO
n11454,n21600,86.2311,FUNDED_BY
n12417,n188,43.8666,BELONGS_TO
n27484,n5980,60.0182,BELONGS_TO
n8175,n27649,99.0926,BELONGS_TO
n16187,n13111,3.7777,FOLLOWS
n1470,n1114,47.2944,BELONGS_TO
n14565,n20644,64.8049,DEVELOPS
n13360,n22434,75.6797,FOLLOWS
n13619,n7941,62.8931,BELONGS_TO
n11638,n12522,7.6204,FUNDED_BY
n1529,n9860,69.8892,FOLLOWS
n5917,n13198,91.4349,FUNDED_BY
n12255,n2638,53.9647,BELONGS_TO
n22953,n10195,58.8203,BELONGS_TO
n28954,n25048,23.79,FUNDED_BY
n2787,n29967,95.7374,FOLLOWS
n19759,n12360,31.9065,BELONGS_TO
n26034,n6791,72.5244,BELONGS_TO
n27340,n9596,90.8872,FOLLOWS
n8216,n29845,62.5391,FUNDED_BY
n1595,n25132,57.0852,FUNDED_BY
n1858,n6291,64.1873,FOLLOWS
n27818,n25370,63.3479,DEVELOPS
n12880,n29891,78.5922,DEVELOPS
n22163,n22971,19.2105,BELONGS_TO
n6406,n9991,83.5844,BELONGS_TO
n19184,n27145,99.9818,BELONGS_TO
n4844,n29302,95.0539,BELONGS_TO
n1434,n3106,89.4931,FUNDED_BY
n22055,n8702,58.152,FUNDED_BY
n12472,n29671,24.2193,BELONGS_TO
n12499,n8611,29.4504,FUNDED_BY
n4487,n10254,56.5088,FOLLOWS
n6646,n12836,65.9798,DEVELOPS
n24541,n10512,67.1055,FUNDED_BY
n5566,n24527,89.1465,DEVELOPS
n16676,n10455,24.3004,FOLLOWS
n10561,n25293,25.6971,FOLLOWS
n25967,n19125,65.4984,DEVELOPS
n29123,n29653,39.9896,DEVELOPS
n14783,n22367,0.4032,FUNDED_BY
n24249,n5445,70.8187,FUNDED_BY
n18216,n1132,40.5763,FUNDED_BY
n19199,n18197,66.1375,DEVELOPS
n8256,n22808,2.3887,DEVELOPS
n9806,n17007,64.3929,BELONGS_TO
n7118,n10049,3.8095,BELONGS_TO
n11282,n25132,11.696,FUNDED_BY
n26439,n8989,23.3084,BELONGS_TO
n20439,n8223,53.1249,FOLLOWS
n18197,n26445,57.4318,BELONGS_TO
n11264,n3629,87.5649,DEVELOPS
n778,n16321,63.5823,BELONGS_TO
n21946,n18318,78.5243,FUNDED_BY
n26267,n24527,78.0361,DEVELOPS
n25293,n3317,61.4073,FOLLOWS
n16980,n3870,13.6992,BELONGS_TO
n2048,n5967,9.5306,FUNDED_BY
n23637,n16655,93.1402,FUNDED_BY
n5104,n26557,1.2054,DEVELOPS
n8132,n9029,4.9106,FUNDED_BY
n11389,n2849,37.5709,FUNDED_BY
n3033,n8622,0.5745,BELONGS_TO
n7857,n29805,93.9288,FOLLOWS
n10047,n18265,0.996,FOLLOWS
n5381,n3604,28.3716,FOLLOWS
n27087,n13314,5.8675,FOLLOWS
n15114,n5582,31.6982,FOLLOWS
n3669,n25374,4.8081,DEVELOPS
n28153,n7925,79.0266,FUNDED_BY
n21249,n20014,21.5511,BELONGS_TO
n20927,n2624,21.1455,DEVELOPS
n5788,n21393,85.4341,FOLLOWS
n5879,n22791,75.2857,BELONGS_TO
n4341,n212,2.8331,BELONGS_TO
n6432,n15660,27.4139,FUNDED_BY
n3052,n502,70.7666,DEVELOPS
n25224,n11207,41.4072,FUNDED_BY
n10131,n12256,54.0472,FOLLOWS
n26508,n7087,14.6666,BELONGS_TO
